년도,월,지역,차량통행속도
18,6,성동구,24.9
18,7,성동구,24.9
18,8,성동구,25
18,9,성동구,25
18,10,성동구,24.9
18,11,성동구,24.3
18,12,성동구,24.8
18,1,광진구,26.1
18,2,광진구,25.5
18,3,광진구,25.4
18,4,광진구,24.8
18,5,광진구,24.6
18,6,광진구,24.9
18,7,광진구,24.8
18,8,광진구,24.8
18,9,광진구,25
18,10,광진구,24.9
18,11,광진구,24.7
18,12,광진구,25.1
18,1,동대문구,24.6
18,2,동대문구,23.8
18,3,동대문구,24.1
18,4,동대문구,24
18,5,동대문구,23.8
18,6,동대문구,23.9
18,7,동대문구,23.8
18,8,동대문구,24.1
18,9,동대문구,23.5
18,10,동대문구,24
18,11,동대문구,23.6
18,12,동대문구,24
18,1,중랑구,23.4
18,2,중랑구,22.5
18,3,중랑구,22.8
18,4,중랑구,22.6
18,5,중랑구,22.4
18,6,중랑구,22.7
18,7,중랑구,22.5
18,8,중랑구,22.7
18,9,중랑구,22.6
18,10,중랑구,23
18,11,중랑구,23
18,12,중랑구,23.6
18,1,성북구,25.5
18,2,성북구,24.7
18,3,성북구,25
18,4,성북구,24.8
18,5,성북구,24.6
18,6,성북구,24.8
18,7,성북구,24.5
18,8,성북구,24.5
18,9,성북구,24.3
18,10,성북구,24.3
18,11,성북구,24
18,12,성북구,24.1
18,1,강북구,21.7
18,2,강북구,21.1
18,3,강북구,21.4
18,4,강북구,21.2
18,5,강북구,21
18,6,강북구,21.2
18,7,강북구,21
18,8,강북구,21.2
18,9,강북구,21.1
18,10,강북구,21.5
18,11,강북구,21.3
18,12,강북구,21.5
18,1,도봉구,22.6
18,2,도봉구,22
18,3,도봉구,22.2
18,4,도봉구,22.1
18,5,도봉구,22
18,6,도봉구,21.9
18,7,도봉구,21.6
18,8,도봉구,21.6
18,9,도봉구,21.5
18,10,도봉구,22.1
18,11,도봉구,21.7
18,12,도봉구,21.8
18,1,노원구,24.7
18,2,노원구,24.2
18,3,노원구,24.1
18,4,노원구,24.1
18,5,노원구,23.9
18,6,노원구,24
18,7,노원구,24
18,8,노원구,23.7
18,9,노원구,23.8
18,10,노원구,23.9
18,11,노원구,23.7
18,12,노원구,23.8
18,1,은평구,22.4
18,2,은평구,21.6
18,3,은평구,21.8
18,4,은평구,21.7
18,5,은평구,21.5
18,6,은평구,21.5
18,7,은평구,21.4
18,8,은평구,21.6
18,9,은평구,21.4
18,10,은평구,21.8
18,11,은평구,21.5
18,12,은평구,21.5
18,1,서대문구,24.9
18,2,서대문구,24
18,3,서대문구,23.9
18,4,서대문구,23.5
18,5,서대문구,23.4
18,6,서대문구,23.5
18,7,서대문구,23.4
18,8,서대문구,23.6
18,9,서대문구,23.2
18,10,서대문구,23.4
18,11,서대문구,23.1
18,12,서대문구,23.5
18,1,마포구,25.3
18,2,마포구,24.8
18,3,마포구,24.9
18,4,마포구,24.3
18,5,마포구,24.4
18,6,마포구,24.5
18,7,마포구,24.2
18,8,마포구,24.2
18,9,마포구,24.3
18,10,마포구,24.1
18,11,마포구,24.2
18,12,마포구,24.3
18,1,양천구,26.4
18,2,양천구,25.4
18,3,양천구,25.7
18,4,양천구,25.6
18,5,양천구,25.5
18,6,양천구,25.6
18,7,양천구,25.1
18,8,양천구,25.4
18,9,양천구,25.3
18,10,양천구,25.3
18,11,양천구,24.9
18,12,양천구,25.1
18,1,강서구,24.6
18,2,강서구,23.8
18,3,강서구,24
